"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_dt_h2d","mean_dt_d2h","mean_cuda","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","sd_cuda","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h","se_cuda","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"603","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"HUGE_DATASET",8192,8192,8192,2,0,4235582827338,4264876567485,26693660900,0,0,1934793483,665285764,26693660900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264876567485,0,0,0,2,2,2
"604","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"LARGE_DATASET",2048,2048,2048,2,0,15758289934,16126956475,323897201,0,0,30924448,13844892,323897201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16126956475,0,0,0,2,2,2
"605","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"MEDIUM_DATASET",512,512,512,2,0,121110087,121110087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121110087,0,0,2,0,0,0
"606","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"MINI_DATASET",64,64,64,2,0,13486591,13486591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13486591,0,0,2,0,0,0
"607","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"SMALL_DATASET",256,256,256,2,0,20936042,20936042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20936042,0,0,2,0,0,0
"608","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"STANDARD_DATASET",1024,1024,1024,2,0,4000701357,4079407638,61739870,0,0,10543730,6422681,61739870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079407638,0,0,0,2,2,2
"609","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"TINY_DATASET",128,128,128,2,0,12031539,12031539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12031539,0,0,2,0,0,0
"610","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,4,"TOY_DATASET",32,32,32,2,0,15921688,15921688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15921688,0,0,2,0,0,0
"611","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"EXTRALARGE_DATASET",4096,4096,4096,2,0,353950616910,359517335239,4657133965,0,0,687327732,222256632,4657133965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359517335239,0,0,0,2,2,2
"612","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"HUGE_DATASET",8192,8192,8192,2,0,5937639512234,5966957968590,26738061456,0,0,1912009995,668384905,26738061456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5966957968590,0,0,0,2,2,2
"613","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"LARGE_DATASET",2048,2048,2048,2,0,29774897420,30330315185,464269954,0,0,65145241,26002570,464269954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30330315185,0,0,0,2,2,2
"614","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"MEDIUM_DATASET",512,512,512,2,0,83610348,83610348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83610348,0,0,2,0,0,0
"615","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"MINI_DATASET",64,64,64,2,0,11768158,11768158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11768158,0,0,2,0,0,0
"616","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"SMALL_DATASET",256,256,256,2,0,19603286,19603286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19603286,0,0,2,0,0,0
"617","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"STANDARD_DATASET",1024,1024,1024,2,0,1658131072,1658131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658131072,0,0,2,0,0,0
"618","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"TINY_DATASET",128,128,128,2,0,11962605,11962605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11962605,0,0,2,0,0,0
"619","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,6,"TOY_DATASET",32,32,32,2,0,12141404,12141404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12141404,0,0,2,0,0,0
"620","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"EXTRALARGE_DATASET",4096,4096,4096,2,0,250850929772,254409347698,3284632003,0,0,193912695,79873228,3284632003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254409347698,0,0,0,2,2,2
"621","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"HUGE_DATASET",8192,8192,8192,2,0,2430838899812,2456085853714,23804934975,0,0,1079487961,362530966,23804934975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456085853714,0,0,0,2,2,2
"622","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"LARGE_DATASET",2048,2048,2048,2,0,13322153165,13850786040,469474704,0,0,42438445,16719726,469474704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13850786040,0,0,0,2,2,2
"623","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"MEDIUM_DATASET",512,512,512,2,0,60288025,60288025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60288025,0,0,2,0,0,0
"624","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"MINI_DATASET",64,64,64,2,0,12905423,12905423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12905423,0,0,2,0,0,0
"625","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"SMALL_DATASET",256,256,256,2,0,16093506,16093506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16093506,0,0,2,0,0,0
