exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1536700,0,0,2233042,1298322,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1533278,0,0,1890668,1400922,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1531808,0,0,1868245,1402391,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1720668,0,0,1871529,1301397,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1535372,0,0,1861192,1301886,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,636694,0,0,673013,208623,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,1537957,0,0,1870972,1299581,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,394640911,0,0,8613183,0,0,3299833,1843102,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8447724,0,0,3229498,2227383,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8755249,0,0,3297944,1838213,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8463228,0,0,3313801,2198678,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4596550,0,0,2279694,774425,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8480481,0,0,3296825,2199168,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,9862337,0,0,3314501,1800148,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8453872,0,0,3343271,2246517,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,8557943,0,0,3372886,1793512,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4640969,0,0,2997618,1191531,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,8272737021,0,0,65678976,0,0,12688768,4984804,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,65660816,0,0,17353479,6412910,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,59478821,0,0,12629678,4984876,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,58309641,0,0,12682763,5002757,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,39101044,0,0,7832535,5095644,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,58097459,0,0,12712027,6406396,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,60189895,0,0,12677455,4987742,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,58493612,0,0,12647277,6539038,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,51504848,0,0,7618051,5004498,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,62915820,0,0,12458145,4982368,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,122991935095,0,0,461851282,0,0,50727834,23474787,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,480173775,0,0,50738940,23488824,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,477884443,0,0,50769460,17702913,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,479624166,0,0,48412521,17743770,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,477570074,0,0,50495391,17740069,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,467593688,0,0,50765968,17699832,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,482776149,0,0,50728110,17707449,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,477374792,0,0,50641852,23455164,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,500632296,0,0,50679080,23492458,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,LARGE_DATASET,NONE,0,1,CUDA,1,2048,2048,2048,0,0,0,480849793,0,0,50779937,17653041,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,2070341319002,0,0,3299769145,0,0,203574198,78399167,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3331817446,0,0,203158979,65583144,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3316129107,0,0,203127201,91268054,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3331858300,0,0,203241674,65790510,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3315282808,0,0,203137675,68561489,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3318727637,0,0,200560307,68575875,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3337246249,0,0,203088995,68573011,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3308162744,0,0,200769629,68554639,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3340213554,0,0,203104081,68603811,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,EXTRALARGE_DATASET,NONE,0,1,CUDA,1,4096,4096,4096,0,0,0,3309746239,0,0,200485292,91177194,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,11778746081290,0,0,23748463998,0,0,1107334200,361279114,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23745448286,0,0,798380933,270150390,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23741522863,0,0,800101105,272123398,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23749256285,0,0,786541532,272102236,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23758043234,0,0,812364595,272051325,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23748826667,0,0,813000038,223747273,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23754713707,0,0,811224678,272035957,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23742093590,0,0,796882786,270636016,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23746186419,0,0,796811540,362826707,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,HUGE_DATASET,NONE,0,1,CUDA,1,8192,8192,8192,0,0,0,23748935739,0,0,811931081,271952838,1,0,0,0
