"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"14","overhead-no-offloading","OMP+OFF","DYNAMIC",16,2,"STANDARD_DATASET",1024,1024,1024,10,8195013945.7,4496109970.3,4496109970.3,0,0,0,0,0,0,202283494.278677,32035955.1535645,32035955.1535645,0,0,0,0,0,0,63967657.4978259,10130658.5304273,10130658.5304273,0,0,0,0,0,0,4496109970.3,10130658.5304273,32035955.1535645,0,10,10,0
"15","overhead-no-offloading","OMP+OFF","DYNAMIC",16,2,"TINY_DATASET",128,128,128,10,3525819,11757773.8,11757773.8,0,0,0,0,0,0,261578.062760112,388215.131086189,388215.131086189,0,0,0,0,0,0,82718.2464256426,122764.403637319,122764.403637319,0,0,0,0,0,0,11757773.8,122764.403637319,388215.131086189,10,0,0,0
"16","overhead-no-offloading","OMP+OFF","DYNAMIC",16,2,"TOY_DATASET",32,32,32,10,41605.9,10104554.3,10104554.3,0,0,0,0,0,0,4251.35737278238,375724.806210373,375724.806210373,0,0,0,0,0,0,1344.39724453419,118814.616105016,118814.616105016,0,0,0,0,0,0,10104554.3,118814.616105016,375724.806210373,10,0,0,0
"17","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"EXTRALARGE_DATASET",4096,4096,4096,10,924591865857.5,413410769080.7,413410769080.7,0,0,0,0,0,0,48057349646.1351,97904728403.5686,97904728403.5686,0,0,0,0,0,0,15197068319.2874,30960193545.5458,30960193545.5458,0,0,0,0,0,0,413410769080.7,30960193545.5458,97904728403.5686,0,10,10,0
"18","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"LARGE_DATASET",2048,2048,2048,10,103718519009.6,39978125879.9,39978125879.9,0,0,0,0,0,0,24768856851.6845,15673569274.1363,15673569274.1363,0,0,0,0,0,0,7832600268.99904,4956417797.07029,4956417797.07029,0,0,0,0,0,0,39978125879.9,4956417797.07029,15673569274.1363,0,10,10,0
"19","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"MEDIUM_DATASET",512,512,512,10,405982782.4,114566692.4,114566692.4,0,0,0,0,0,0,3879458.12845972,9451644.08008682,9451644.08008682,0,0,0,0,0,0,1226792.37731868,2988872.29263212,2988872.29263212,0,0,0,0,0,0,114566692.4,2988872.29263212,9451644.08008682,0,10,10,0
"20","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"MINI_DATASET",64,64,64,10,321274.4,10245952.5,10245952.5,0,0,0,0,0,0,8779.793528324,355761.704923394,355761.704923394,0,0,0,0,0,0,2776.41449355099,112501.729182266,112501.729182266,0,0,0,0,0,0,10245952.5,112501.729182266,355761.704923394,10,0,0,0
"21","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"SMALL_DATASET",256,256,256,10,38811253.5,20454917.1,20454917.1,0,0,0,0,0,0,101781.170955689,432294.779716547,432294.779716547,0,0,0,0,0,0,32186.0323138953,136703.612450505,136703.612450505,0,0,0,0,0,0,20454917.1,136703.612450505,432294.779716547,10,0,0,0
"22","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"STANDARD_DATASET",1024,1024,1024,10,8256660333.7,2301392550.3,2301392550.3,0,0,0,0,0,0,239519725.646737,83288611.9368035,83288611.9368035,0,0,0,0,0,0,75742787.7582335,26338171.6874187,26338171.6874187,0,0,0,0,0,0,2301392550.3,26338171.6874187,83288611.9368035,0,10,10,0
"23","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"TINY_DATASET",128,128,128,10,3756825.5,11369732.5,11369732.5,0,0,0,0,0,0,383699.749288135,939056.886497535,939056.886497535,0,0,0,0,0,0,121336.514538608,296955.861379843,296955.861379843,0,0,0,0,0,0,11369732.5,296955.861379843,939056.886497535,10,0,0,0
"24","overhead-no-offloading","OMP+OFF","DYNAMIC",16,4,"TOY_DATASET",32,32,32,10,44483.5,10843465.3,10843465.3,0,0,0,0,0,0,4725.6847358052,1007009.49916519,1007009.49916519,0,0,0,0,0,0,1494.39272690355,318444.364278744,318444.364278744,0,0,0,0,0,0,10843465.3,318444.364278744,1007009.49916519,10,0,0,0
"25","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"EXTRALARGE_DATASET",4096,4096,4096,10,913053280197.1,261985151215.5,261985151215.5,0,0,0,0,0,0,47491978508.7381,111164175933.711,111164175933.711,0,0,0,0,0,0,15018282267.5379,35153199016.6201,35153199016.6201,0,0,0,0,0,0,261985151215.5,35153199016.6201,111164175933.711,0,10,10,0
"26","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"LARGE_DATASET",2048,2048,2048,10,92956447381.7,25520924197.4,25520924197.4,0,0,0,0,0,0,11508554790.4343,10773973771.719,10773973771.719,0,0,0,0,0,0,3639324571.46142,3407029656.9547,3407029656.9547,0,0,0,0,0,0,25520924197.4,3407029656.9547,10773973771.719,0,10,10,0
"27","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"MEDIUM_DATASET",512,512,512,10,407428236.5,82266036.7,82266036.7,0,0,0,0,0,0,14317880.1697411,586974.945389248,586974.945389248,0,0,0,0,0,0,4527711.26017401,185617.775688297,185617.775688297,0,0,0,0,0,0,82266036.7,185617.775688297,586974.945389248,10,0,0,0
"28","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"MINI_DATASET",64,64,64,10,321043.8,10414828.3,10414828.3,0,0,0,0,0,0,10689.6424968804,291534.113147901,291534.113147901,0,0,0,0,0,0,3380.36176630714,92191.1813184609,92191.1813184609,0,0,0,0,0,0,10414828.3,92191.1813184609,291534.113147901,10,0,0,0
"29","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"SMALL_DATASET",256,256,256,10,44784613.2,18530421.3,18530421.3,0,0,0,0,0,0,9832613.06724595,2241657.4182132,2241657.4182132,0,0,0,0,0,0,3109345.26436316,708874.317536633,708874.317536633,0,0,0,0,0,0,18530421.3,708874.317536633,2241657.4182132,10,0,0,0
"30","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"STANDARD_DATASET",1024,1024,1024,10,8248457402.7,1600607411.1,1600607411.1,0,0,0,0,0,0,295132781.251868,111491369.328044,111491369.328044,0,0,0,0,0,0,93329180.0936143,35256666.6527657,35256666.6527657,0,0,0,0,0,0,1600607411.1,35256666.6527657,111491369.328044,0,10,10,0
"31","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"TINY_DATASET",128,128,128,10,3457021.6,10821333.1,10821333.1,0,0,0,0,0,0,95682.9128746496,273801.228648246,273801.228648246,0,0,0,0,0,0,30257.5937843342,86583.5508681002,86583.5508681002,0,0,0,0,0,0,10821333.1,86583.5508681002,273801.228648246,10,0,0,0
"32","overhead-no-offloading","OMP+OFF","DYNAMIC",16,6,"TOY_DATASET",32,32,32,10,46634.6,10952164.3,10952164.3,0,0,0,0,0,0,23999.0403178497,1205894.8280797,1205894.8280797,0,0,0,0,0,0,7589.16290626165,381337.427534903,381337.427534903,0,0,0,0,0,0,10952164.3,381337.427534903,1205894.8280797,10,0,0,0
"33","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"EXTRALARGE_DATASET",4096,4096,4096,10,922669188626,214792132924.7,214792132924.7,0,0,0,0,0,0,46760614517.4568,73417679382.2805,73417679382.2805,0,0,0,0,0,0,14787004666.4299,23216708737.199,23216708737.199,0,0,0,0,0,0,214792132924.7,23216708737.199,73417679382.2805,0,10,10,0
"34","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"LARGE_DATASET",2048,2048,2048,10,80367196258.9,12649309516.9,12649309516.9,0,0,0,0,0,0,643677742.312498,339874015.466863,339874015.466863,0,0,0,0,0,0,203548774.486243,107477600.638258,107477600.638258,0,0,0,0,0,0,12649309516.9,107477600.638258,339874015.466863,0,10,10,0
"35","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"MEDIUM_DATASET",512,512,512,10,402423351.3,61816700,61816700,0,0,0,0,0,0,21692108.647896,4765541.51095205,4765541.51095205,0,0,0,0,0,0,6859647.05791869,1506996.54586887,1506996.54586887,0,0,0,0,0,0,61816700,1506996.54586887,4765541.51095205,10,0,0,0
"36","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"MINI_DATASET",64,64,64,10,324843.3,10572500.9,10572500.9,0,0,0,0,0,0,33223.6586526329,1022835.53010571,1022835.53010571,0,0,0,0,0,0,10506.2433546281,323448.994687976,323448.994687976,0,0,0,0,0,0,10572500.9,323448.994687976,1022835.53010571,10,0,0,0
"37","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"SMALL_DATASET",256,256,256,10,38670950.9,15419120.2,15419120.2,0,0,0,0,0,0,673836.242065088,582744.017344608,582744.017344608,0,0,0,0,0,0,213085.729489424,184279.838764563,184279.838764563,0,0,0,0,0,0,15419120.2,184279.838764563,582744.017344608,10,0,0,0
"38","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"STANDARD_DATASET",1024,1024,1024,10,8222680845.8,1193957000,1193957000,0,0,0,0,0,0,258038342.152878,109840928.487695,109840928.487695,0,0,0,0,0,0,81598888.4856931,34734751.4328789,34734751.4328789,0,0,0,0,0,0,1193957000,34734751.4328789,109840928.487695,0,10,10,0
"39","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"TINY_DATASET",128,128,128,10,3490972,11108795.7,11108795.7,0,0,0,0,0,0,534622.323463749,1575187.74159049,1575187.74159049,0,0,0,0,0,0,169062.423011673,498118.100580267,498118.100580267,0,0,0,0,0,0,11108795.7,498118.100580267,1575187.74159049,10,0,0,0
"40","overhead-no-offloading","OMP+OFF","DYNAMIC",16,8,"TOY_DATASET",32,32,32,10,51845,12558667.6,12558667.6,0,0,0,0,0,0,28766.6272537389,5595228.65932586,5595228.65932586,0,0,0,0,0,0,9096.80627228895,1769366.65929201,1769366.65929201,0,0,0,0,0,0,12558667.6,1769366.65929201,5595228.65932586,10,0,0,0
"41","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"EXTRALARGE_DATASET",4096,4096,4096,10,919331651443.6,162167945952.5,162167945952.5,0,0,0,0,0,0,46106002184.4438,63012922791.8255,63012922791.8255,0,0,0,0,0,0,14579998070.7541,19926435804.6505,19926435804.6505,0,0,0,0,0,0,162167945952.5,19926435804.6505,63012922791.8255,2,8,8,0
"42","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"LARGE_DATASET",2048,2048,2048,10,81638074654.9,11037789650.7,11037789650.7,0,0,0,0,0,0,12028035472.5966,6124325194.55247,6124325194.55247,0,0,0,0,0,0,3803598787.07049,1936681674.63397,1936681674.63397,0,0,0,0,0,0,11037789650.7,1936681674.63397,6124325194.55247,0,10,10,0
"43","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"MEDIUM_DATASET",512,512,512,10,437203709,63790749.4,63790749.4,0,0,0,0,0,0,64272904.7604183,14954423.9371759,14954423.9371759,0,0,0,0,0,0,20324877.0878001,4729004.07372187,4729004.07372187,0,0,0,0,0,0,63790749.4,4729004.07372187,14954423.9371759,10,0,0,0
"44","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"MINI_DATASET",64,64,64,10,356301.1,11486071,11486071,0,0,0,0,0,0,7821.52445783074,539816.029762404,539816.029762404,0,0,0,0,0,0,2473.38320614587,170704.817151844,170704.817151844,0,0,0,0,0,0,11486071,170704.817151844,539816.029762404,10,0,0,0
"45","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"SMALL_DATASET",256,256,256,10,40403858.6,14877334.6,14877334.6,0,0,0,0,0,0,5058028.83646419,1261260.89252416,1261260.89252416,0,0,0,0,0,0,1599489.15940382,398845.714407319,398845.714407319,0,0,0,0,0,0,14877334.6,398845.714407319,1261260.89252416,10,0,0,0
"46","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"STANDARD_DATASET",1024,1024,1024,10,8016938120.8,967144424,967144424,0,0,0,0,0,0,149827131.845214,1555316.13348312,1555316.13348312,0,0,0,0,0,0,47379499.1921222,491834.146341314,491834.146341314,0,0,0,0,0,0,967144424,491834.146341314,1555316.13348312,10,0,0,0
"47","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"TINY_DATASET",128,128,128,10,3834478.4,11842839.7,11842839.7,0,0,0,0,0,0,328680.307494075,429557.45710316,429557.45710316,0,0,0,0,0,0,103937.839372579,135837.995035606,135837.995035606,0,0,0,0,0,0,11842839.7,135837.995035606,429557.45710316,10,0,0,0
"48","overhead-no-offloading","OMP+OFF","DYNAMIC",16,10,"TOY_DATASET",32,32,32,10,42388.1,10554622.1,10554622.1,0,0,0,0,0,0,4850.7461464993,903183.077105731,903183.077105731,0,0,0,0,0,0,1533.94061742226,285611.566777359,285611.566777359,0,0,0,0,0,0,10554622.1,285611.566777359,903183.077105731,10,0,0,0
"49","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"EXTRALARGE_DATASET",4096,4096,4096,10,935257177852,151899450844.3,151899450844.3,0,0,0,0,0,0,106836879880.881,56771392702.9024,56771392702.9024,0,0,0,0,0,0,33784787852.9403,17952690688.1035,17952690688.1035,0,0,0,0,0,0,151899450844.3,17952690688.1035,56771392702.9024,10,0,0,0
"50","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"LARGE_DATASET",2048,2048,2048,10,88809914365.8,12436733662.4,12436733662.4,0,0,0,0,0,0,19188302431.9956,8228365270.89731,8228365270.89731,0,0,0,0,0,0,6067874011.72541,2602037567.58639,2602037567.58639,0,0,0,0,0,0,12436733662.4,2602037567.58639,8228365270.89731,10,0,0,0
"51","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"MEDIUM_DATASET",512,512,512,10,412615544.8,51955773.8,51955773.8,0,0,0,0,0,0,75219980.9886466,7307675.19047917,7307675.19047917,0,0,0,0,0,0,23786646.5478687,2310889.8002619,2310889.8002619,0,0,0,0,0,0,51955773.8,2310889.8002619,7307675.19047917,10,0,0,0
"52","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"MINI_DATASET",64,64,64,10,351328.1,11912341.4,11912341.4,0,0,0,0,0,0,38571.711366406,1970436.40446728,1970436.40446728,0,0,0,0,0,0,12197.4461168448,623106.702262939,623106.702262939,0,0,0,0,0,0,11912341.4,623106.702262939,1970436.40446728,10,0,0,0
"53","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"SMALL_DATASET",256,256,256,10,37306574.9,14234765.7,14234765.7,0,0,0,0,0,0,703671.584219956,1593147.66972949,1593147.66972949,0,0,0,0,0,0,222520.493087406,503797.528533486,503797.528533486,0,0,0,0,0,0,14234765.7,503797.528533486,1593147.66972949,10,0,0,0
"54","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"STANDARD_DATASET",1024,1024,1024,10,8183569866.8,830955716,830955716,0,0,0,0,0,0,321684995.559708,4554884.73916978,4554884.73916978,0,0,0,0,0,0,101725727.506983,1440381.02553185,1440381.02553185,0,0,0,0,0,0,830955716,1440381.02553185,4554884.73916978,10,0,0,0
"55","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"TINY_DATASET",128,128,128,10,3406545.1,10870391.6,10870391.6,0,0,0,0,0,0,76074.0241749954,617038.180822044,617038.180822044,0,0,0,0,0,0,24056.7187167697,195124.605468449,195124.605468449,0,0,0,0,0,0,10870391.6,195124.605468449,617038.180822044,10,0,0,0
"56","overhead-no-offloading","OMP+OFF","DYNAMIC",16,12,"TOY_DATASET",32,32,32,10,42842.1,11260359.7,11260359.7,0,0,0,0,0,0,7171.78895704861,2203857.29430863,2203857.29430863,0,0,0,0,0,0,2267.91880023171,696920.868799133,696920.868799133,0,0,0,0,0,0,11260359.7,696920.868799133,2203857.29430863,10,0,0,0
"57","overhead-no-offloading","OMP+OFF","DYNAMIC",16,14,"EXTRALARGE_DATASET",4096,4096,4096,10,917181432477.6,160983602687.5,160983602687.5,0,0,0,0,0,0,48444972933.8698,39674106565.0142,39674106565.0142,0,0,0,0,0,0,15319645565.6238,12546054087.7684,12546054087.7684,0,0,0,0,0,0,160983602687.5,12546054087.7684,39674106565.0142,10,0,0,0
"58","overhead-no-offloading","OMP+OFF","DYNAMIC",16,14,"LARGE_DATASET",2048,2048,2048,10,90627439635.2,13496852268.3,13496852268.3,0,0,0,0,0,0,19267202630.3615,9823660471.13886,9823660471.13886,0,0,0,0,0,0,6092824445.19296,3106514204.89616,3106514204.89616,0,0,0,0,0,0,13496852268.3,3106514204.89616,9823660471.13886,10,0,0,0
"59","overhead-no-offloading","OMP+OFF","DYNAMIC",16,14,"MEDIUM_DATASET",512,512,512,10,434029670.3,72250967.4,72250967.4,0,0,0,0,0,0,75127672.8564775,33127725.3548827,33127725.3548827,0,0,0,0,0,0,23757456.1534477,10475906.5821939,10475906.5821939,0,0,0,0,0,0,72250967.4,10475906.5821939,33127725.3548827,10,0,0,0
