"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"1","data_size_evaluation","CUDA","NONE",0,1,"EXTRALARGE_DATASET",4096,4096,4096,10,1037545620961.3,-2814691745,0,2604135203.3,0,0,2604135203.3,144169646.5,66386895.2,411799349554.596,75600773.1078268,0,1610706.0768283,0,0,1610706.0768283,54146287.9252401,48145769.866114,130222388356.837,23907063.5890339,0,509349.984385157,0,0,509349.984385157,17122559.6687032,15225029.247922,2604135203.3,509349.984385157,1610706.0768283,10,0,0,0
"2","data_size_evaluation","CUDA","NONE",0,1,"HUGE_DATASET",8192,8192,8192,10,12141840379976.1,-21806980440.7,0,20963193585.9,0,0,20963193585.9,604418250.6,239368604.2,921687336835.339,434776761.051024,0,10553188.446917,0,0,10553188.446917,320157154.06223,198408894.651512,291463127493.448,137488483.863202,0,3337211.20692326,0,0,3337211.20692326,101242581.603408,62742401.5135179,20963193585.9,3337211.20692326,10553188.446917,10,0,0,0
"3","data_size_evaluation","CUDA","NONE",0,1,"LARGE_DATASET",2048,2048,2048,10,111431741696.6,-368709996.5,0,323786030.7,0,0,323786030.7,33070019.4,11853946.4,25958711450.8613,11396030.8477538,0,273751.459818817,0,0,273751.459818817,12751269.5446221,6301089.99540042,8208865330.78158,3603741.37644415,0,86567.8125823526,0,0,86567.8125823526,4032305.48197438,1992579.61271652,323786030.7,86567.8125823526,273751.459818817,10,0,0,0
"4","data_size_evaluation","CUDA","NONE",0,1,"MEDIUM_DATASET",512,512,512,10,451401622,-8207180.3,0,4588270.8,0,0,4588270.8,2543114.1,1075795.4,127048822.6883,1345499.0443731,0,8438.87753462772,0,0,8438.87753462772,1449164.94058719,527643.330648607,40176365.3737904,425484.156979897,0,2668.60739046501,0,0,2668.60739046501,458266.19175181,166855.471704693,4588270.8,2668.60739046501,8438.87753462772,10,0,0,0
"5","data_size_evaluation","CUDA","NONE",0,1,"MINI_DATASET",64,64,64,10,482187.3,-202197.4,0,63460,0,0,63460,106546.5,32190.9,418781.637671366,55612.2003576753,0,9709.61470799834,0,0,9709.61470799834,41077.7287292707,12293.1484602874,132430.381729689,17586.1218823885,0,3070.44976799455,0,0,3070.44976799455,12989.918389103,3887.43487491002,63460,3070.44976799455,9709.61470799834,10,0,0,0
"6","data_size_evaluation","CUDA","NONE",0,1,"SMALL_DATASET",256,256,256,10,56562401.3,-1502408.4,0,616762,0,0,616762,639146.9,246499.5,35213253.822624,109196.819079434,0,10905.7251834886,0,0,10905.7251834886,34127.2067607194,93620.972656297,11135408.5905123,34531.0661536343,0,3448.69311156817,0,0,3448.69311156817,10791.970354337,29605.5510354243,616762,3448.69311156817,10905.7251834886,10,0,0,0
"7","data_size_evaluation","CUDA","NONE",0,1,"STANDARD_DATASET",1024,1024,1024,10,8312551063.4,-47021323.2,0,35884106.4,0,0,35884106.4,7803038,3334178.8,441228490.225449,2140186.36152915,0,20570.2804647871,0,0,20570.2804647871,746440.702293223,1789922.09426538,139528699.766976,676786.351966067,0,6504.89383771941,0,0,6504.89383771941,236045.275750225,566023.065213722,35884106.4,6504.89383771941,20570.2804647871,10,0,0,0
"8","data_size_evaluation","CUDA","NONE",0,1,"TINY_DATASET",128,128,128,10,7344282.7,-401147.6,0,118825.1,0,0,118825.1,198384.2,83938.3,2096342.31148468,45707.140470123,0,4650.88019865296,0,0,4650.88019865296,26608.7951508102,29326.9048266453,662921.645967375,14453.8669218848,0,1470.73745523197,0,0,1470.73745523197,8414.43984694036,9273.98159751846,118825.1,1470.73745523197,4650.88019865296,10,0,0,0
"9","data_size_evaluation","CUDA","NONE",0,1,"TOY_DATASET",32,32,32,10,60338,-119935.3,0,48646,0,0,48646,49826.4,21462.9,47338.8559031819,34926.3663669727,0,9250.13056964903,0,0,9250.13056964903,19501.6657339828,7789.55850695874,14969.8606480562,11044.6868113134,0,2925.14812540417,0,0,2925.14812540417,6166.96818866451,2463.27468491302,48646,2925.14812540417,9250.13056964903,10,0,0,0
