"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h"
"20","chunk_size_evaluation","OMP","DYNAMIC",32,10,"LARGE_DATASET",2048,2048,2048,10,90648758986.8,15464923467.8,15464923467.8,0,0,0,0,0,0,12687403364.8287,5889009943.28104,5889009943.28104,0,0,0,0,0,4012109222.6143,1862268458.41471,1862268458.41471,0,0,0,0,0
"21","chunk_size_evaluation","OMP","DYNAMIC",32,12,"LARGE_DATASET",2048,2048,2048,10,91451956923.1,14559889590.3,14559889590.3,0,0,0,0,0,0,10367155691.2007,3768519042.76999,3768519042.76999,0,0,0,0,0,3278382484.17714,1191710358.08706,1191710358.08706,0,0,0,0,0
"22","chunk_size_evaluation","OMP","DYNAMIC",32,14,"LARGE_DATASET",2048,2048,2048,10,88819934984.5,13750426039.7,13750426039.7,0,0,0,0,0,0,4941772073.86116,1659370456.24344,1659370456.24344,0,0,0,0,0,1562725543.08151,524739012.372204,524739012.372204,0,0,0,0,0
"23","chunk_size_evaluation","OMP","DYNAMIC",32,16,"LARGE_DATASET",2048,2048,2048,10,91780540611.6,14994594815.4,14994594815.4,0,0,0,0,0,0,9140947140.09207,3084587802.02544,3084587802.02544,0,0,0,0,0,2890621293.38932,975432309.717294,975432309.717294,0,0,0,0,0
"24","chunk_size_evaluation","OMP","DYNAMIC",32,18,"LARGE_DATASET",2048,2048,2048,10,92118634920.4,14753755990.3,14753755990.3,0,0,0,0,0,0,10691734706.682,3890960554.20946,3890960554.20946,0,0,0,0,0,3381023381.13874,1230429763.7173,1230429763.7173,0,0,0,0,0
"25","chunk_size_evaluation","OMP","DYNAMIC",32,20,"LARGE_DATASET",2048,2048,2048,10,91306285826.1,14699469580.9,14699469580.9,0,0,0,0,0,0,7071299722.18487,2457772342.72513,2457772342.72513,0,0,0,0,0,2236141313.98201,777215857.317938,777215857.317938,0,0,0,0,0
"26","chunk_size_evaluation","OMP","DYNAMIC",32,22,"LARGE_DATASET",2048,2048,2048,10,91257426598.7,12743355122.9,12743355122.9,0,0,0,0,0,0,7328724605.98442,2273248476.26939,2273248476.26939,0,0,0,0,0,2317546209.90308,718864287.25185,718864287.25185,0,0,0,0,0
"27","chunk_size_evaluation","OMP","DYNAMIC",32,24,"LARGE_DATASET",2048,2048,2048,10,90911721374.3,11490194519.4,11490194519.4,0,0,0,0,0,0,6710389752.25584,1610748399.41996,1610748399.41996,0,0,0,0,0,2122011560.45815,509363367.96377,509363367.96377,0,0,0,0,0
"28","chunk_size_evaluation","OMP","DYNAMIC",64,1,"LARGE_DATASET",2048,2048,2048,10,88863957564.5,89962994673.8,89962994673.8,0,0,0,0,0,0,710466788.10339,1099041808.52297,1099041808.52297,0,0,0,0,0,224669325.231093,347547535.868324,347547535.868324,0,0,0,0,0
"29","chunk_size_evaluation","OMP","DYNAMIC",64,2,"LARGE_DATASET",2048,2048,2048,10,89461602377,78757039441.6,78757039441.6,0,0,0,0,0,0,1116282393.85126,3653252265.19654,3653252265.19654,0,0,0,0,0,352999487.651512,1155259802.51906,1155259802.51906,0,0,0,0,0
