"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"77","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,20,"LARGE_DATASET",2048,2048,0,10,34521495896.8,1829559505.6,1829559505.6,0,0,0,0,0,0,552993991.842436,86556186.2490478,86556186.2490478,0,0,0,0,0,0,174872054.661067,27371469.4124737,27371469.4124737,0,0,0,0,0,0,1829559505.6,27371469.4124737,86556186.2490478,10,0,0,0
"78","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,22,"LARGE_DATASET",2048,2048,0,10,34657384836.9,1690161257.7,1690161257.7,0,0,0,0,0,0,519860345.957182,52048410.3954923,52048410.3954923,0,0,0,0,0,0,164394275.84278,16459152.5440941,16459152.5440941,0,0,0,0,0,0,1690161257.7,16459152.5440941,52048410.3954923,10,0,0,0
"79","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,24,"LARGE_DATASET",2048,2048,0,10,34537352789.2,1568787845.4,1568787845.4,0,0,0,0,0,0,497800612.79571,58521874.1161322,58521874.1161322,0,0,0,0,0,0,157418375.7062,18506241.5148631,18506241.5148631,0,0,0,0,0,0,1568787845.4,18506241.5148631,58521874.1161322,10,0,0,0
"80","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,1,"LARGE_DATASET",2048,2048,0,10,35487210716,7496845329,10968616291,457769.2,3408335774.9,0,3408793544.1,45545309.1,17432108.8,1674363651.92237,836291180.193532,854075586.527385,4167.78745459346,3844735.2528608,0,3848903.0403154,22901436.2603533,7981840.18913143,529480277.147206,264458491.652186,270082414.737076,1317.97011599909,1215812.03993835,0,1217130.01005435,7242070.02718853,2524079.49171245,10968616291,270082414.737076,854075586.527385,0,10,10,10
"81","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,2,"LARGE_DATASET",2048,2048,0,10,34354951235.1,7772911415.6,11241100944.6,458873,3407847358.3,0,3408306231.3,41852516.1,18030781.6,119393717.610513,877284880.506363,888457285.588407,3859.05238800063,4231664.89656521,0,4235523.94895321,20985038.2533268,12279528.9669825,37755608.5964176,277421837.922876,280954862.623006,1220.33951559938,1338169.93677269,0,1339390.27628829,6636051.76662743,3883128.01296792,11241100944.6,280954862.623006,888457285.588407,0,10,10,10
"82","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,4,"LARGE_DATASET",2048,2048,0,10,34390074496.3,6858808885.5,10543504291.7,411798.4,3633961657,0,3634373455.4,32729108.2,17592842.6,229791038.441918,3385187671.14749,2080487577.84178,289389.477692761,1427701877.10407,0,1427991266.58176,24390702.3509417,17023083.237754,72666306.737177,1070490334.79471,657907938.966688,91512.9880395613,451478975.134666,0,451570488.122706,7713017.31601993,5383171.58299363,10543504291.7,657907938.966688,2080487577.84178,0,10,10,10
"83","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,6,"LARGE_DATASET",2048,2048,0,10,34372670988.6,4025430404,8679782602.9,137738.8,4637520456.9,0,4637658195.7,10938315.2,5755688,254737216.372791,5097755232.63607,3503435639.15766,443561.473716052,1801270193.81684,0,1801713755.29055,35412339.3362623,19688705.1037607,80554980.8549157,1612051748.91715,1107883625.5546,140266.453924363,569611649.383415,0,569751915.837339,11198364.9577364,6226115.23072655,8679782602.9,1107883625.5546,3503435639.15766,0,10,10,10
"84","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,8,"LARGE_DATASET",2048,2048,0,10,34397041599.4,2470423239.7,6152038056.4,0,3681606065.2,0,3681606065.2,0,8751.5,296011915.752883,735730549.271142,4402291511.67771,0,5117495997.38825,0,5117495997.38825,0,17185.705177398,93607186.8328986,232658427.986354,1392126810.09273,0,1618294326.85419,0,1618294326.85419,0,5434.59715567257,6152038056.4,1392126810.09273,4402291511.67771,3,7,7,7
"85","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,10,"LARGE_DATASET",2048,2048,0,10,34334394430.7,2248151364.3,4943663476,0,2695506147.2,0,2695506147.2,0,5964.5,299421736.148578,240873124.243885,5815559317.01973,0,5695220097.91328,0,5695220097.91328,0,14484.5158780755,94685466.7191478,76170769.9731398,1839041330.95956,0,1800986728.53731,0,1800986728.53731,0,4580.40609795924,4943663476,1839041330.95956,5815559317.01973,5,5,5,5
"86","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,12,"LARGE_DATASET",2048,2048,0,10,34491994176,1965983520.6,1965983520.6,0,0,0,0,0,0,351559409.740426,288428997.845179,288428997.845179,0,0,0,0,0,0,111172846.764413,91209257.6430565,91209257.6430565,0,0,0,0,0,0,1965983520.6,91209257.6430565,288428997.845179,10,0,0,0
